geo_id,type,coordinates,highway
342,Point,"[116.40678679047944, 39.91301889355172]",6
343,Point,"[116.4072848010078, 39.91303453274852]",6
344,Point,"[116.40676743885426, 39.91340300829216]",10
345,Point,"[116.4068237687167, 39.91205535540401]",10
346,Point,"[116.41099823516757, 39.918541911493676]",10
347,Point,"[116.40993711164582, 39.91848808689782]",10
348,Point,"[116.41205309634698, 39.91858738677303]",10
349,Point,"[116.41113943390832, 39.918760406597215]",8
350,Point,"[116.41110282680904, 39.91942853840748]",8
351,Point,"[116.40175641875491, 39.91513899544776]",0
352,Point,"[116.40296985132402, 39.91517553447159]",0
353,Point,"[116.40288518008965, 39.91712929573941]",10
354,Point,"[116.40362519893259, 39.91520129182444]",10
355,Point,"[116.40300658327295, 39.914573518090094]",10
356,Point,"[116.40303595853266, 39.91354088136052]",10
357,Point,"[116.40668067682095, 39.91529238101467]",10
358,Point,"[116.40531226913969, 39.91524241128898]",10
359,Point,"[116.40715468994367, 39.91530742076752]",10
360,Point,"[116.40662235111375, 39.91667653424626]",10
361,Point,"[116.4178521493506, 39.9155890764188]",4
362,Point,"[116.41783074030376, 39.91620321114725]",4
363,Point,"[116.41696884412156, 39.91556131384129]",8
364,Point,"[116.41493941959114, 39.91554775834712]",8
365,Point,"[116.41442163092294, 39.91554259313254]",8
366,Point,"[116.41809719555813, 39.91552877369127]",8
367,Point,"[116.41905119437693, 39.91552985801755]",8
368,Point,"[116.41927524629278, 39.91553495464914]",8
369,Point,"[116.4194503335745, 39.91557807396064]",8
370,Point,"[116.41951539123995, 39.91559404362427]",8
371,Point,"[116.4179073229018, 39.914853422757936]",4
372,Point,"[116.4179065773133, 39.914492607657245]",4
373,Point,"[116.4179221280099, 39.91417838791315]",4
374,Point,"[116.42660401165199, 39.91559031950159]",8
375,Point,"[116.42474443272266, 39.91556712464401]",8
376,Point,"[116.426736561676, 39.915548511548096]",9
377,Point,"[116.42665007783238, 39.914934354708635]",8
378,Point,"[116.41762369154425, 39.91879520305628]",4
379,Point,"[116.41765172052608, 39.91836537391721]",4
380,Point,"[116.41763212598286, 39.91910321270147]",4
381,Point,"[116.4176513042979, 39.91980373458069]",4
382,Point,"[116.41765106360896, 39.920267454121515]",4
383,Point,"[116.4176447994365, 39.920519867162625]",4
384,Point,"[116.41762129396571, 39.921154402950826]",4
385,Point,"[116.41761730858912, 39.921251008552424]",4
386,Point,"[116.41756871621804, 39.92187565364841]",4
387,Point,"[116.41757151831264, 39.92190465376346]",4
388,Point,"[116.41755251066049, 39.922542987768665]",4
389,Point,"[116.4175473813633, 39.92307401184878]",4
390,Point,"[116.41752793104371, 39.92415976445927]",4
391,Point,"[116.41673337811375, 39.9187641337243]",10
392,Point,"[116.41671638696182, 39.91876353968808]",10
393,Point,"[116.41644532635563, 39.91875763322351]",10
394,Point,"[116.45405977555784, 39.95732467473214]",2
395,Point,"[116.4545093798273, 39.95773340939405]",2
396,Point,"[116.45493802640723, 39.95812307741324]",2
397,Point,"[116.45490920839467, 39.9573966057424]",3
398,Point,"[116.45496962740445, 39.95720077802961]",3
399,Point,"[116.45498258856675, 39.9571588506182]",3
400,Point,"[116.45500960299204, 39.957035292028905]",3
401,Point,"[116.4549687896175, 39.956886767219714]",3
402,Point,"[116.45487631414821, 39.956774546271404]",3
403,Point,"[116.45473347236877, 39.95669692602487]",3
404,Point,"[116.45451921854564, 39.95666414754566]",3
405,Point,"[116.4543053679966, 39.95668196858321]",3
406,Point,"[116.45409312375118, 39.956798188690556]",3
407,Point,"[116.45399899149312, 39.95702208131997]",3
408,Point,"[116.45400539438451, 39.95717257481004]",3
409,Point,"[116.45531352651386, 39.9571274899073]",12
410,Point,"[116.45553841957074, 39.95696273291954]",12
411,Point,"[116.45637483592346, 39.9594472401741]",2
412,Point,"[116.45522120703076, 39.95823291819308]",3
413,Point,"[116.45541331079735, 39.95825933524143]",3
414,Point,"[116.45561747359315, 39.95822482428179]",3
415,Point,"[116.45579878525758, 39.958118255025596]",3
416,Point,"[116.45588524433866, 39.958008276171796]",3
417,Point,"[116.45590926197305, 39.95785682163577]",3
418,Point,"[116.45584201452797, 39.95766774991948]",3
419,Point,"[116.45571104324644, 39.95755260934775]",3
420,Point,"[116.45554297431582, 39.95748654458739]",3
421,Point,"[116.4552440517181, 39.957478442626545]",3
422,Point,"[116.45500487876672, 39.95753482126197]",3
423,Point,"[116.46689738634022, 39.968886979403756]",2
424,Point,"[116.46738722751162, 39.96934172440692]",2
425,Point,"[116.46900214224725, 39.97073806215866]",2
426,Point,"[116.45736702158308, 39.96051764347795]",3
427,Point,"[116.45699868244084, 39.96029529581055]",3
428,Point,"[116.45682603116781, 39.96019454691656]",3
429,Point,"[116.45662046667157, 39.960098064491454]",3
430,Point,"[116.45636293823165, 39.96000378653138]",3
431,Point,"[116.4556909816626, 39.95979983901974]",3
432,Point,"[116.45551223619344, 39.95970029422269]",3
433,Point,"[116.4553507420776, 39.9595827130402]",3
434,Point,"[116.45491312828283, 39.9592042697771]",3
